conference:ID,name:string[]
84,"Proceedings of e  International Conference on Pervasive Technologies Related to Assistive Environments, PETRA , Samos, Greece, June , "
85,"Proceedings of e For International Software Process Workshop, ISPW , Moretonhampstead, Devon, UK, May "
86,"Proceedings of e  Workshop on Verification a Evaluation of Computer a Communication Systems, VECoS , Bucharest, Romania, September , ."
87,"Energy Efficient Data Centers  Thi International Workshop, E"
88,"Proceedings of e st International Workshop on Practicing Open Enterprise Modeling wiin OMiLAB (PrOse ) colocated wi  IFIP WG . Working Conference on e Practice of Enterprise Modelling (PoEM ), Leuven, Belgium, November , ."
89,"HumanComputer Interaction  INTERACT    IFIP TC  International Conference, Cape Town, Sou Africa, September , , Proceedings, Part IV"
90,"ADBIS , Research Communications, Proceedings II of e  EastEuropean Conference on Advances in Databases a Information Systems, September , , Vienna, Austria"
91,"Proceedings of e Fifteen Conference on Innovative Applications of Artificial Intelligence, August , , Acapulco, Mexico"
92,"Proceedings of e  International Conference on ELearning, EBusiness, Enterprise Information Systems, a EGovernment, EEE , July , , Las Vegas, Nevada, USA"
93,"Proceedings of e  International Joint Conference on eBusiness a Telecommunications, ICETE   Volume : DCNET, ICEB, OPTICS, SIGMAP a WINSYS, Porto, Portugal, July , ."
94," International Workshop on Product LinE Approaches in Software Engineering, PLEASE , San Francisco, CA, USA, May , "
95,"Actes du XXVIIème Congrès INFORSID, Toulouse, France,  mai "
96,"Computer Vision  ECCV ,  European Conference on Computer Vision, Marseille, France, October , , Proceedings, Part III"
97,"Computer Vision  ECCV    European Conference, Munich, Germany, September , , Proceedings, Part VI"
98,"Universal Access: Theoretical Perspectives, Practice, a Experience,  ERCIM International Workshop on User Interfaces for All, Paris, France, October , , Revised Papers"
99," International Symposium on Wireless Personal Multimedia Communications, WPMC , Brest, France, October , "
100,"Applied Computer Sciences in Engineering   Workshop on Engineering Applications, WEA , Medellín, Colombia, October , , Proceedings, Part II"
101,"Information Systems Design Meodologies: A Feature Analysis, Proceedings of e IFIP WG . Working Conference on Feature Analysis of Information Systems Design Meodologies, York, UK,  July,  (CRIS )"
102,"EuroMLSys@EuroSys , Proceedings of e st Workshop on Machine Learning a Systemsg Virtual Event, Edinburgh, Scotla, UK,  April, "
103,"Computer Animation , CA , Philadelphia, Pennsylvania, USA, May , "
104," IEEE International Conference on Software Maintenance (ICSM ), September , , Timisoara, Romania"
105,"International Conference on Mobile Business, ICMB , Delft, The Neerlas, June , "
106,"Intelligent Techniques for Web Personalization, IJCAI  Workshop, ITWP , Acapulco, Mexico, August , , Revised Selected Papers"
107,"Proceedings of e TwentySeven International Joint Conference on Artificial Intelligence, IJCAI , July , , Stockholm, Sweden."
108," International Enterprise Distributed Object Computing Conference (EDOC ),  September , Brisbane, Australia, Proceedings"
109,"Robustness in Identification a Control, Workshop Robustness in Identification a Control, Siena, Italy, July   August , ."
110,"Proceedings of e ACM Symposium on Document Engineering , Berlin, Germany, September , ."
111,"Automotive  Safety & Security  (), Sicherheit u Zuverlässigkeit für automobile Informationstechnik, Tagung, ..., Stuttgart, Germany"
112,"Proceedings of e  International Conference on Virtual Execution Environments, VEE , Pittsburgh, Pennsylvania, USA, March , "
113,"Fif European Workshop on SoftwareDefined Networks, EWSDN , Den Haag, The Neerlas, October , "
114," International Symposium on Parameterized a Exact Computation, IPEC , August , , Helsinki, Finla"
115,"Proceedings of e st International Workshop on Automated Forensic Hawriting Analysis: A Satellite Workshop of ICDAR, Beijing, China, September , "
116,"Proceedings of e  Biannual Conference of e Italian SIGCHI Chapter, CHItaly ', BozenBolzano, Italy, a online (www), July , ."
117,"Enterprise Information Systems,  International Conference, ICEIS , Paphos, Cyprus, May , , Revised Selected Papers"
119," IEEE International Conference on Cybernetics a Intelligent Systems (CIS) a IEEE Conference on Robotics, Automation a Mechatronics (RAM), Bangkok, Thaila, November , "
