author_keywords;;
Auto-induction 00 Autoinduction 00 Cell-free protein synthesis 00 CFPS 00 Clearcoli 00 Crisantaspase 00 Endotoxin-free;;
Cylindrical developable mechanism 00 Developable mechanism 00 Developable surface 00 Morphing mechanism;;
;;
;;
Clustering 00 External metrics 00 Noise;;
CT analysis 00 damage mechanics 00 porosity 00 Resin transfer moulding;;
Boundary element methods 00 Collocation 00 Isogeometric analysis 00 Linear elasticity 00 Patch tests 00 T-splines;;
Coset coding 00 Physicallayer security 00 Quadrature amplitude modulation 00 Security gap;;
;;
Annotating 00 Camera 00 IMU 00 Labeling 00 Synchronization 00 Video;;
Calibration 00 cryptography 00 multiple-input-multiple-output (MIMO) systems 00 reciprocity principle 00 security;;
air conditioning 00 endotoxin 00 evaporative cooling 00 house dust-mite 00 hygiene hypothesis 00 β-(1 → 3)-d-glucans;;
;;
;;
Egg quality inspection 00 Embedded vision sensor 00 Evolutionary learning 00 Pavement quality evaluation 00 Road condition detection 00 Visual inspection;;
;;
Approximation algorithms 00 linear systems 00 model reduction;;
Image gradient 00 Image quality assessment 00 Local binary pattern 00 No-reference 00 Phase congruency;;
compliant mechanisms 00 heat set 00 origami 00 origami manufacturing 00 polyethylene terephthalate;;
artificial neural networks (ANNs) 00 connection weight approach 00 data mining 00 Discrete event simulation (DES);;
;;
;;
;;
;;
Continuous phase modulation (CPM) 00 equalization 00 frequency selective multipath 00 shaped offset QPSK (SOQPSK) 00 sparse channel estimation;;
Co-simulation 00 Communication irregularities 00 Network observability 00 State estimation;;
Parameter Estimation 00 Reduced Order Systems 00 System Identification;;
Applied origami 00 Compliant mechanisms 00 Folding 00 Sacrificial joints;;
Building damage mapping 00 Seismic foundation performance 00 Site response 00 Structural resonance;;
bending modulus 00 carbon infiltrated-carbon nanotubes 00 carbon nanotubes 00 density 00 non-destructive testing 00 Raman spectroscopy;;
additive manufacturing 00 conductive ink 00 electronic packaging9large area projection sintering 00 harsh environmental testing 00 hybrid electronics 00 printed electronics;;
Exercise response 00 Feedback control 00 Gulf War Illness 00 Immune dynamics 00 Oscillatory behavior;;
;;
;;
Convective heat transfer 00 Isoflux wall 00 Jet impingement 00 Slip length 00 Superhydrophobic surface 00 Temperature jump length;;
image quality assessment 00 image structure 00 just-noticeable difference 00 local binary pattern 00 reduced-reference;;
;;
;;
biophotonics 00 biosensor 00 hydrodynamic focusing 00 liquid-core waveguide 00 multi-spot excitation 00 optofluidics;;
human robot interaction 00 robotics 00 transparency;;
Bootstrapped switch 00 DAC 00 SAR ADC 00 Time interleaved;;
Arduino 00 Control Engineering Education 00 PID Control;;
Bootstrapped switch 00 DAC 00 SAR ADC 00 time interleaved;;
clinical decision support system (CDSS) 00 Erectile dysfunction (ED) 00 genetic algorithm (GA) 00 National Health Insurance Research Database (NHIRD) 00 support vector machine (SVM);;
;;
Folding kinetics 00 G-quadruplex 00 Hydrodynamic flow focusing 00 Micromixer 00 Three-dimensional focusing;;
Phase transformation 00 Pore structure evolution 00 Silica doped alumina 00 Thermal and hydrothermal stability 00 Transitional alumina;;
Binder jetting 00 Materials 00 Post-processing 00 Powder deposition 00 Sintering 00 Wetting;;
;;
Feature descriptor 00 Feature detection 00 Feature matching 00 Image correspondence 00 Synthetic basis functions;;
Building damage mapping 00 Seismic foundation performance 00 Site response 00 Structural resonance;;
Gaussian wiretap channel 00 Physical-layer security 00 practical secrecy coding;;
Dissimilar 00 Friction stir scribe technology 00 Intermetallic 00 Kinetic 00 Thermodynamic;;
Back face deformation 00 Ballistic fabric 00 Body armor 00 Impact behavior;;
Flowcharting 00 Graphic methods 00 Process control 00 Statistics 00 Average run lengths 00 Average time to signal 00 Cusum 00 EWMA 00 Phase II monitoring 00 Process Variability 00 Shewhart control charts 00 variability 00 Control charts;;
;;
;;
;;
;;
Design ethnography 00 Design for the developing world 00 Engineering for global development 00 Low resource 00 Poverty alleviation 00 Resource-poor;;
;;
fault injection 00 Fault tolerance 00 FPGA 00 radiation testing 00 redundancy 00 RISC-V 00 Single Event Upset (SEU) 00 soft processor 00 Triple Modular Redundancy (TMR);;
Assessment 00 instructor feedback 00 oral presentations 00 peer feedback 00Technical presentations 00 Assessment 00 Extended abstracts 00 Feedback technology 00 Oral presentations 00 Peer feedback 00 Qualitative feedback 00 Real time 00 Professional aspects;;
;;
Coining 00 Dislocation density 00 EBSD 00 Metals 00 Microforming 00 Microstructure formation;;
Brightness temperature 00 Calibrated Passive Microwave Daily Equal-Area Scalable Earth Grid 20 Brightness Temperature (CETB) 00 radiometer 00 reconstruction 00 Soil Moisture Active Passive (SMAP);;
Curved folding 00 developable 00 energy 00 origami;;
Contact time 00 Droplet impact 00 Heat transfer 00 Superhydrophobic surfaces;;
;;
athletic footwear 00 athletic Performance 00 carbon fiber 00 running performance 00 running shoe 00 shoe stiffness 00 sports biomechanics;;
;;
;;
Isogeometric analysis 00 Linear independence 00 Local refinement 00 T-splines;;
Dislocations 00 Grain boundaries 00 Molecular dynamics;;
;;
Automated inspection 00 Dam inspection 00 Multi-Scale 00 Structure from motion 00 Unmanned aerial vehicles 00 View-planning;;
;;
gyroscope 00 gyrostabilizer 00 hand 00 suppression 00 Tremor 00 wrist;;
;;
;;
;;
;;
Binarized Neural Networks 00 Deep learning 00 Deep neural network compression 00 Deep Neural Networks 00 Digital design 00 FPGA;;
Radar scattering 00 RapidScat 00 scatterometer 00 wind;;
Backscattering 00 Image reconstruction 00 Microwave measurement 00 Radiometers 00 Sampling 00 Algorithm performance 00 Backus-Gilbert 00 Brightness temperatures 00 Higher resolution images 00 Scatterometer image reconstruction 00 Scatterometer Image Reconstruction algorithms 00 Scatterometers 00 Variable aperture 00 Meteorological instruments 00 algorithm 00 backscatter 00 brightness temperature 00 comparative study 00 data processing 00 image analysis 00 image resolution 00 imaging method 00 noise 00 radiometer 00 sampling 00 scatterometer;;
Security 00 Two-factor authentication 00 Usability 00 Usable security;;
;;
Audience awareness 00 case-method 00 pedagogy 00 report and proposal writing;;
Acoustic scattering 00 Finite element 00 High frequency scattering 00 High order local absorbing boundary condition 00 Isogeometric analysis (IGA) 00 Very low frequency;;
Chiller 00 Dynamic optimization 00 Mixed-integer quadratic programming 00 Thermal energy storage;;
Big data classification 00 Diffusion maps 00 Manifold learning 00 Parameter identification 00 WECC load model;;
Additive manufacturing 00 Demineralized bone matrix 00 LAPS 00 Polycaprolactone 00 Tensile strength;;
Electron microscopy 00 Grain boundaries 00 Twinning 00 VPSC;;
Earthquakes 00 Infrastructure 00 Seismic risk 00 Site response 00 Soil-structure-interaction;;
Additive manufacturing (AM) 00 conductive ink 00 coplanar waveguide (CPW) 00 printed electronics 00 surface roughness 00 thermal smoothing (TS) 00 vapor smoothing (VS);;
A. Fabrics/textiles 00 B. Permeability 00 D. Process monitoring 00 E. Liquid composite molding 00 E. Resin flow;;
Bioorthogonal chemistry 00 Biotechnology 00 Metabolic labeling 00 Proteomics 00 Residue-specific labeling 00 Site-specific labeling;;
;;
Evolutionary constructed features 00 Hardware implementation 00 Jet features 00 Object classification 00 Visual inspection;;
design critique 00 design education 00 ethics 00 philosophy of design 00 reasoning;;
;;
Functional data analysis 00 Internal knee extension moment 00 Knee flexion angle 00 Vertical ground reaction force 00 Waveform analysis;;
Bag-of-features model 00 Chinese food 00 Convolutional neural network 00 Recognition;;
Compliant mechanisms 00 Dynamic stiffness matrix 00 Flexure hinge 00 Micro-/nano positioning;;
;;
adaptive filtering 00 physical-layer security 00 self-jamming;;
Adaptive physical-layer security 00 coding for secrecy 00 interleaving 00 puncturing 00 scrambling;;
DTPA-BIGA 00 DTPABMA 00 Gadolinium retention 00 Gd-DTPA-BIGA 00 Gd-DTPA-BMA 00 ICP-MS 00 Transmetallation 00 Zinc sink;;
Glass 00 Grain boundaries 00 Large dataset 00 Metallic glass 00 Structural properties 00 Computational materials science 00 Grain boundary structure 00 High throughput 00 Inferential statistics 00 Large datasets 00 Materials informatics 00 Microstructural phenomenon 00 Structure property relationships 00 Throughput;;
Basis Vectors 00 Crystal Structure 00 Database 00 Lattice Vectors 00 Space Groups 00 Wyckoff Positions;;
;;
;;
Grassroots adoption 00 Paired participants 00 PGP 00 Secure email;;
;;
Equalization 00 frequency selective multipath 00 maximum likelihood sequence estimation 00 SOQPSK;;
Chondrodysplasia (cho;col11a1) 00 High temperature requirement A1 serine protease (HtrA1) 00 Losartan 00 Osteoarthritis (OA) 00 Temporomandibular joint (TMJ) 00 Transforming growth factor-beta 1 (TGF-β1);
;;
Friction stir welding 00 Numerical simulation 00 Recrystallized grain size 00 Stainless steel;;
Physical layer security 00 Polar codes 00 Security gap 00 Wiretap channel;;
mapping 00 multi-robot systems 00 SLAM;;
Compatibility 00 Deformation 00 Grouted prisms 00 High-strength masonry 00 Hollow prisms 00 Masonry efficiency 00 Masonry grout 00 Shrinkage compensating admixtures;;
;;
Additive manufacturing;;
Air-coupled impact-echo testing 00 Chain dragging 00 Concrete bridge deck 00 Delamination;;
Beam steering 00 multiple-input multiple-output (MIMO) systems 00 mutual coupling 00 radar antennas;;
;;
Crystallographic orientation 00 Hydrogen embrittlement 00 Recovery 00 Steel;;
capabilities 00 excess 00 Over-design 00 redesign 00 requirements;;
;;
Biocompatible 00 Flexible 00 III-nitride 00 Piezoelectric generators 00 Self-powered system 00 Thin film;;
Nondestructive evaluation 00 Nondestructive testing 00 Nonlinear resonant ultrasound spectroscopy 00 Stress corrosion cracking;;
Biofabrication 00 DNA 00 Nanofabrication 00 Roadmap 00 Semiconductors;;
;;
;;
Finite element modeling 00 Stiffness 00 Tissue properties 00 Transverse compression 00 Young's modulus;;
Calibration 00 motion control 00 pneumatic actuators 00 pose estimation 00 robot kinematics 00 soft robotics 00 state estimation 00 visual servoing;;
Heat transfer 00 Mass transfer 00 Natural convection 00 Nucleation 00 Superhydrophobic;;
;;
CS education 00 CS for All 00 K-12;;
Deformable capsule 00 IGA 00 Pulsatile flow 00 T-spline;;
complex systems 00 Drenick's theorem 00 exponential distribution 00 failure law;;
Array antennas 00 element-gain paradox 00 mutual coupling 00 Poynting streamlines 00 receiving antennas;;
DAC layout 00 DAC settling 00 SAR ADC 00 timing scheme;;
Brittle crack 00 Crack interaction 00 Graph theory 00 Machine learning 00 Reduced-order models;;
;;
;;
Ensembles 00 Multiple Choice Learning 00 Neural networks;;
3D display 00 Acousto-optic modulator 00 Augmented reality 00 Holographic video 00 Laser-induced structures 00 Leaky mode 00 Lithium niobate 00 Near-eye display;;
;;
Computational differential geometry 00 Manifold boundary approximation method 00 Model reduction 00 Parameter identifiability 00 Power system modeling 00 System identification;;
Architecture development 00 Brainstorming 00 Cad modeling 00 Controlled convergence 00 Customizing the product development process 00 Design for manufacturing 00 Engineering drawings 00 Failure modes and effects analysis 00 Product development design skills 00 Product development textbook 00 Product ergonomics 00 Product refinement 00 Prototyping 00 Quality function deployment 00 Subsystem engineering 00 Troubleshooting 00 Uncertainty analysis 00 Value engineering;;
;;
;;
;;
;;
;;
Computer vision 00 Image processing 00 Machine learning 00 Mode shape identification 00 PCA;;
Alassroom archive 00 Industrial design history 00 Instagram search 00 Instagram student presentations 00 Social media;;
Class room design 00 Creativity pedagogy 00 Industrial design 00 Student learning 00 Studio environment;;
Communication 00 Design education 00 Interdisciplinary education 00 Interdisciplinary teams 00 Product design;;
;;
;;
Big data 00 Design methods 00 Persona 00 Persona Generator 00 User centred design;;
Learning in games 00 Repeated interactions 00 Trigger strategies;;
Dense phase 00 Fluidization 00 Modeling 00 Pressurized coal 00 Transport;;
;;
;;
Behavior trees 00 Grammatical evolution 00 Swarms;;
;;
;;
;;
;;
Frequency response 00 Leap motion controller 00 Markerless motion capture 00 Tremor;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
Best Practices 00 Impact Assessment 00 Service Learning;;
;;
;;
;;
;;
;;
;;
;;
Clean water 00 Cup seal 00 Design for the developing world 00 Engineering for global development 00 Hand pump 00 India Mark 00 Village Drill;;
Friction stir welding 00 Signal processing 00 Temperature control;;
;;
Design intent 00 Neutral format 00 Parametric design 00 XML;;
FTIR 00 Particle combustion 00 Radiation 00 Temperature;;
;;
Aluminum mirror coatings 00 FUV 00 Lifetime 00 Magnesium fluoride 00 Oxidation 00 Quality assurance 00 Spectroscopic ellipsometry 00 XPS;;
3D printing 00 Lab on a chip 00 Microfluidics 00 Stereolithography;;
;;
;;
;;
Laser ablation 00 Magnesium 00 Micro machining;;
;;
Automated assessment 00 software tools in control 00 student expectations;;
Ceramic blocks 00 Efflorescence 00 Masonry 00 Soluble salts 00 Test methods;;
;;
Multi-robot systems 00 nonlinear filters 00 nonlinear observability 00 pose estimation 00 unmanned aerial vehicles;;
;;
Ethical climate 00 Ethics 00 Mixed-methods;;
;;
;;
;;
;;
;;
;;
Biophotonics 00 hydrodynamic focusing 00 optofluidics 00 soft photolithography 00 waveguides;;
;;
;;
Capstone 00 Customer needs 00 Design deliverables 00 Project descriptions 00 Sponsor expectations;;
Bi-objective 00 Design space exploration 00 Technology tactics plot;;
Gases 00 SLW model 00 Thermal radiation;;
cyber-physical 00 digital twin 00 exhaustive search 00 PID tuning 00 smart tuning 00 temperature control;;
Combustion 00 Numerical simulation 00 On-site measurements 00 Two-phase flow;;
social sustainability 00 sustainable design;;
lithography 00 optics 00 photonics;;
Assembly simplification 00 Computer-aided design 00 External geometry 00 Ray casting;;
;;
Configuration scrubbing 00 field programmable gate arrays (FPGAs) 00 single-event effects (SEEs) 00 single-event upset (SEU) 00 triple modular redundancy (TMR);;
;;
Femtosecond laser micromachining 00 Guided-wave acousto-optics 00 Holographic display 00 Lithium niobate 00 Surface acoustic waves;;
Chirped fiber Bragg grating 00 Phase change materials 00 Pump-probe spectroscopy 00 Single-shot spectroscopy 00 Time-stretching 00 Timeencoding;;
Active learning 00 Alloy phase prediction 00 Cluster expansion 00 Interatomic potentials 00 Machine learning 00 Moment Tensor Potentials;;
;;
Architectural programming 00 Design science 00 Serious games 00 Simulations 00 Target value design 00 Value;;
;;
;;
Adobe 00 Conservation 00 Historical preservation 00 Rammed earth 00 Structural rehabilitation;;
;;
;;
;;
;;
Clay blocks 00 Compressive strength 00 FEA 00 Numerical modelling 00 Structural masonry;;
Ensemble feature selection 00 Maximal oxygen uptake 00 Prediction 00 Rank aggregation 00 Support vector machine;;
;;
Dynamic equivalent 00 Online measurement 00 Parameter identification 00 REI equivalent 00 WLS nonlinear optimization;;
;;
;;
compositional MRI 00 dGEMRIC 00 hip 00 T2 mapping;;
;;
calorimetry 00 neutron scattering 00 surface chemistry;;
Silent data corruption (SDC) 00 single-event upset (SEU) 00 soft errors 00 software fault tolerance;;
Field-programmable gate array (FPGA) 00 hardening 00 neural networks 00 reliability;;
Additive manufacturing 00 adhesion 00 conductive inks 00 printed electronics 00 single lap shear testing 00 surface treatments;;
;;
Compressive strength 00 Confinement 00 Mortar 00 Numerical model 00 Stress-strain behaviour;;
Fully compliant 00 multistable mechanism 00 pseudo-rigid-body model;;
Data 00 Disasters 00 Emergency response 00 Framework 00 Hurricanes 00 Social media;;
;;
;;
;;
Crisis informatics 00 Delphi method 00 Emergency management 00 Social media 00 Software requirements;;
;;
Air-sea interaction 00 Doppler 00 Relative vorticity 00 Scatterometer 00 Sea ice 00 Surface currents 00 Surface winds;;
;;
;;
;;
;;
Design reference mission 00 Landing sites 00 Lunar exploration 00 Moon 00 Sample return 00 South Pole-Aitken basin;;
Global Optimization 00 Parameter Estimation 00 System Identification;;
;;
;;
Co-simulation 00 Communication delay 00 Packet drop 00 State estimation;;
;;
;;
;;
Film boiling 00 Microstructure 00 Pool boiling 00 Post patterned 00 Rib patterned 00 Superhydrophobic surface;;
diabetes 00 encapsulation 00 stem cells;;
;;
Compliant mechanism 00 Lamina emergent joint 00 Maximum torsion stress 00 Rectangular beam;;
;;
;;
Active learning 00 Content learning 00 Flipped classroom 00 Undergraduate;;
;;
Multi-scale asymptotics 00 Reduced models 00 Slow manifold 00 Wave-mean flow interaction;;
Anti-carbon deposition 00 Chemical looping combustion 00 Copper oxide oxygen carrier 00 Fly ash support;;
3D printing. rapid prototyping 00 modeling 00 proof of concept 00 user testing 00 Virtual reality;;
;;
;;
Exceptional polynomial 00 Permutation polynomial 00 Separable polynomial 00 Weil bound;;
Channel coding 00 integrated optics 00 phased arrays 00 quantum mechanics;;
;;
;;
HPC 00 Simulation 00 Smoothed Particles Hydrodynamics;;
Bearing 00 Capillary 00 Surface tension 00 Wetting;;
;;
Biosensor 00 Cell-free protein synthesis 00 CFPS 00 in vitro protein synthesis 00 Protein biosensor 00 TX-TL;;
Carbon capture 00 Chemical absorption 00 Dynamic inputs 00 Dynamic optimization 00 Low temperature carbon capture 00 Power generation;;
;;
Cancer 00 Carbon nanotubes 00 Chemical vapor deposition 00 CIP2A 00 Immunosensor 00 Point-of-care diagnostics;;
Network coding 00 Routing 00 Store code and forward 00 Topology inference;;
;;
;;
;;
Construction education 00 environmental systems 00 HVAC 00 mechanical systems 00 student learning outcomes;;
;;
;;
logistics 00 military logistics 00 Operation planning 00 route modeling 00 vessel route planning;;
Ferritin 00 Lead sulfide 00 Nanoparticles 00 Photovoltaics 00 Quantum dots 00 Solar cells;;
Compliant mechanisms;;
;;
Forming limit 00 Q&P steel 00 Retained austenite 00 Strain path;;
Compliant stiffener 00 finite element models 00 large deflection 00 lenticular stiffener 00 non-linear elasticity 00 origami;;
Engineering 00 Engineering education 00 STEM (science; technology; engineering and mathematics) 00 Attitude 00 Engineering and technology 00 English literature 00 Interest 00 Literacy 00 Reading 00 STEM careers 00 Student attitudes 00 Students
